tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,InternetService,OnlineSecurity,Churn
24,55.55,1333.2,One year,Credit card,Fiber optic,No,Yes
59,99.42,5865.78,Month-to-month,Mailed check,No,No,Yes
32,29.3,937.6,One year,Electronic check,Fiber optic,No,No
52,78.82,4098.64,Month-to-month,Credit card,Fiber optic,Yes,Yes
62,68.1,4222.2,One year,Credit card,No,Yes,No
58,84.23,4885.34,Two year,Electronic check,DSL,Yes,No
52,26.49,1377.48,Two year,Credit card,Fiber optic,Yes,Yes
12,78.0,936.0,One year,Electronic check,No,No,Yes
39,76.15,2969.85,Two year,Credit card,Fiber optic,No,Yes
2,76.07,152.14,Two year,Electronic check,Fiber optic,No,Yes
3,80.35,241.05,Two year,Mailed check,Fiber optic,No,Yes
56,87.65,4908.4,Month-to-month,Credit card,Fiber optic,Yes,Yes
59,100.5,5929.5,Two year,Mailed check,Fiber optic,No,No
2,46.98,93.96,Month-to-month,Credit card,DSL,Yes,Yes
2,102.5,205.0,One year,Credit card,DSL,No,No
54,69.83,3770.82,Two year,Bank transfer,No,No,No
1,27.71,27.71,Two year,Electronic check,DSL,No,Yes
19,25.86,491.34,Two year,Mailed check,DSL,Yes,No
2,53.42,106.84,One year,Mailed check,DSL,Yes,Yes
53,98.49,5219.97,Month-to-month,Mailed check,Fiber optic,No,No
44,90.77,3993.88,Month-to-month,Electronic check,Fiber optic,No,Yes
32,98.86,3163.52,Two year,Bank transfer,No,No,No
70,71.73,5021.1,One year,Mailed check,No,Yes,Yes
32,64.02,2048.64,One year,Electronic check,No,Yes,No
68,34.75,2363.0,One year,Credit card,Fiber optic,Yes,Yes
55,52.82,2905.1,One year,Mailed check,DSL,No,No
56,63.4,3550.4,One year,Mailed check,DSL,Yes,No
17,28.86,490.62,Month-to-month,Bank transfer,Fiber optic,No,Yes
38,42.06,1598.28,Month-to-month,Mailed check,No,Yes,Yes
24,79.82,1915.68,Month-to-month,Mailed check,No,No,No
69,93.57,6456.33,Two year,Credit card,No,No,No
70,119.83,8388.1,One year,Electronic check,Fiber optic,Yes,No
11,113.31,1246.41,Two year,Electronic check,No,No,Yes
16,84.26,1348.16,One year,Bank transfer,No,No,No
59,62.12,3665.08,Month-to-month,Credit card,Fiber optic,No,Yes
70,83.62,5853.4,Two year,Electronic check,DSL,Yes,Yes
3,98.57,295.71,Month-to-month,Credit card,Fiber optic,No,Yes
20,31.83,636.6,One year,Electronic check,Fiber optic,Yes,Yes
59,60.99,3598.41,One year,Credit card,Fiber optic,Yes,No
36,103.98,3743.28,One year,Bank transfer,Fiber optic,No,No
19,58.38,1109.22,Month-to-month,Mailed check,DSL,Yes,Yes
67,77.19,5171.73,One year,Bank transfer,No,No,No
19,78.78,1496.82,Month-to-month,Electronic check,Fiber optic,Yes,Yes
20,38.45,769.0,Two year,Bank transfer,DSL,No,No
71,56.22,3991.62,One year,Mailed check,No,Yes,No
52,53.45,2779.4,One year,Bank transfer,No,No,No
33,22.62,746.46,One year,Electronic check,No,No,No
40,22.42,896.8,Two year,Electronic check,Fiber optic,No,Yes
39,103.17,4023.63,One year,Bank transfer,Fiber optic,No,No
1,47.31,47.31,Month-to-month,Mailed check,No,Yes,Yes
11,71.81,789.91,Month-to-month,Bank transfer,No,Yes,No
57,49.87,2842.59,One year,Mailed check,No,No,No
50,114.07,5703.5,One year,Credit card,No,Yes,No
23,45.93,1056.39,Two year,Mailed check,No,No,No
31,62.97,1952.07,Two year,Credit card,No,No,No
42,107.27,4505.34,Two year,Bank transfer,DSL,Yes,Yes
7,104.19,729.33,One year,Mailed check,No,Yes,Yes
16,38.61,617.76,Two year,Credit card,Fiber optic,No,No
60,100.26,6015.6,Two year,Credit card,Fiber optic,Yes,Yes
2,65.82,131.64,Month-to-month,Credit card,Fiber optic,No,No
1,68.3,68.3,Two year,Electronic check,No,Yes,Yes
48,33.35,1600.8,Month-to-month,Bank transfer,Fiber optic,Yes,No
12,28.06,336.72,Month-to-month,Credit card,DSL,Yes,No
69,92.79,6402.51,Two year,Mailed check,No,Yes,No
37,69.65,2577.05,Month-to-month,Credit card,Fiber optic,Yes,No
32,63.69,2038.08,One year,Electronic check,DSL,No,No
9,92.95,836.55,One year,Bank transfer,DSL,Yes,No
19,96.55,1834.45,Two year,Electronic check,Fiber optic,Yes,Yes
48,35.89,1722.72,One year,Electronic check,DSL,No,Yes
3,81.02,243.06,Month-to-month,Electronic check,Fiber optic,No,Yes
20,33.54,670.8,One year,Mailed check,DSL,No,No
24,95.14,2283.36,Two year,Bank transfer,No,Yes,No
54,85.7,4627.8,Two year,Bank transfer,No,Yes,No
33,115.66,3816.78,Month-to-month,Mailed check,No,No,Yes
24,26.9,645.6,Two year,Bank transfer,No,No,No
36,25.71,925.56,One year,Electronic check,No,No,No
38,48.22,1832.36,Two year,Bank transfer,Fiber optic,No,No
25,46.17,1154.25,Month-to-month,Mailed check,No,Yes,No
18,44.7,804.6,Two year,Electronic check,No,Yes,No
66,110.63,7301.58,One year,Mailed check,No,Yes,No
54,44.95,2427.3,Month-to-month,Credit card,No,Yes,Yes
35,47.19,1651.65,One year,Electronic check,DSL,Yes,Yes
61,95.94,5852.34,Month-to-month,Electronic check,No,No,Yes
41,64.97,2663.77,Two year,Bank transfer,No,Yes,No
33,97.67,3223.11,Month-to-month,Electronic check,Fiber optic,No,No
68,26.54,1804.72,Month-to-month,Mailed check,DSL,No,Yes
33,68.76,2269.08,Two year,Bank transfer,Fiber optic,No,No
14,23.36,327.04,One year,Credit card,No,Yes,No
21,26.27,551.67,Two year,Mailed check,Fiber optic,No,No
48,110.64,5310.72,Month-to-month,Credit card,Fiber optic,Yes,Yes
20,33.92,678.4,Two year,Credit card,No,No,No
8,73.24,585.92,Month-to-month,Credit card,DSL,Yes,No
7,61.11,427.77,Two year,Electronic check,DSL,No,No
67,54.73,3666.91,Two year,Mailed check,Fiber optic,Yes,Yes
17,109.98,1869.66,One year,Mailed check,No,No,Yes
33,22.18,731.94,Month-to-month,Electronic check,Fiber optic,No,Yes
48,86.38,4146.24,One year,Bank transfer,Fiber optic,No,Yes
59,116.34,6864.06,Month-to-month,Credit card,Fiber optic,No,Yes
22,76.02,1672.44,Two year,Mailed check,No,Yes,Yes
30,113.68,3410.4,Month-to-month,Electronic check,No,Yes,Yes
38,25.23,958.74,One year,Credit card,DSL,Yes,No
51,61.88,3155.88,One year,Bank transfer,No,No,Yes
54,46.02,2485.08,One year,Bank transfer,Fiber optic,No,Yes
8,93.08,744.64,Month-to-month,Credit card,Fiber optic,No,Yes
27,118.13,3189.51,One year,Bank transfer,DSL,No,No
27,45.65,1232.55,One year,Mailed check,No,No,Yes
21,85.42,1793.82,One year,Mailed check,Fiber optic,No,No
30,39.81,1194.3,Two year,Mailed check,DSL,Yes,No
28,76.53,2142.84,Two year,Bank transfer,DSL,Yes,No
64,66.39,4248.96,Month-to-month,Mailed check,Fiber optic,Yes,No
69,117.2,8086.8,Month-to-month,Electronic check,Fiber optic,Yes,No
61,80.85,4931.85,One year,Mailed check,No,Yes,No
48,54.95,2637.6,Two year,Mailed check,DSL,Yes,No
19,31.41,596.79,One year,Bank transfer,Fiber optic,Yes,No
4,35.12,140.48,One year,Mailed check,DSL,Yes,No
35,42.53,1488.55,Two year,Credit card,No,No,No
64,45.1,2886.4,Two year,Electronic check,Fiber optic,No,No
49,105.06,5147.94,Two year,Bank transfer,No,No,No
17,76.12,1294.04,Month-to-month,Electronic check,DSL,No,Yes
44,72.34,3182.96,Month-to-month,Credit card,No,No,No
30,31.48,944.4,One year,Bank transfer,No,No,Yes
46,106.01,4876.46,Month-to-month,Bank transfer,DSL,No,Yes
6,92.28,553.68,Two year,Mailed check,No,Yes,Yes
37,26.77,990.49,Two year,Electronic check,DSL,Yes,Yes
24,90.78,2178.72,Month-to-month,Credit card,Fiber optic,No,Yes
46,74.35,3420.1,One year,Credit card,DSL,Yes,No
53,28.17,1493.01,One year,Bank transfer,DSL,Yes,No
60,65.83,3949.8,Month-to-month,Mailed check,Fiber optic,Yes,Yes
63,68.47,4313.61,One year,Bank transfer,DSL,Yes,No
32,36.58,1170.56,One year,Bank transfer,Fiber optic,Yes,No
33,114.57,3780.81,One year,Bank transfer,Fiber optic,No,No
67,105.0,7035.0,Two year,Bank transfer,DSL,Yes,No
18,86.9,1564.2,Two year,Credit card,No,No,No
25,66.23,1655.75,Month-to-month,Credit card,No,No,No
54,61.18,3303.72,Two year,Bank transfer,Fiber optic,No,No
58,85.1,4935.8,One year,Bank transfer,No,Yes,No
67,74.54,4994.18,Two year,Mailed check,No,No,Yes
46,26.23,1206.58,Month-to-month,Bank transfer,DSL,No,No
24,71.25,1710.0,Two year,Credit card,Fiber optic,No,No
32,100.64,3220.48,One year,Electronic check,Fiber optic,No,No
47,65.92,3098.24,One year,Credit card,DSL,Yes,No
23,25.2,579.6,Month-to-month,Mailed check,No,No,No
66,98.63,6509.58,Two year,Credit card,Fiber optic,No,No
27,40.14,1083.78,Two year,Electronic check,No,No,Yes
2,45.86,91.72,Two year,Bank transfer,Fiber optic,No,Yes
17,36.47,619.99,One year,Electronic check,Fiber optic,Yes,Yes
33,53.02,1749.66,Month-to-month,Bank transfer,Fiber optic,No,No
9,95.68,861.12,Two year,Bank transfer,Fiber optic,No,No
43,71.94,3093.42,One year,Credit card,No,No,No
48,40.49,1943.52,One year,Credit card,No,No,No
39,107.78,4203.42,One year,Credit card,No,No,No
42,107.96,4534.32,Two year,Mailed check,No,No,No
26,107.06,2783.56,Two year,Credit card,DSL,Yes,No
50,43.88,2194.0,Two year,Mailed check,Fiber optic,No,No
25,65.12,1628.0,Two year,Credit card,Fiber optic,Yes,No
24,118.5,2844.0,Two year,Bank transfer,Fiber optic,Yes,Yes
13,97.2,1263.6,Two year,Mailed check,DSL,No,No
60,22.72,1363.2,Two year,Electronic check,No,Yes,Yes
7,26.52,185.64,Two year,Mailed check,Fiber optic,No,Yes
57,66.39,3784.23,Two year,Mailed check,No,Yes,No
36,110.92,3993.12,One year,Electronic check,No,No,No
45,73.87,3324.15,Two year,Mailed check,DSL,Yes,No
20,69.78,1395.6,Month-to-month,Bank transfer,DSL,Yes,Yes
65,30.55,1985.75,One year,Credit card,No,No,No
8,85.68,685.44,Two year,Electronic check,Fiber optic,Yes,Yes
16,102.21,1635.36,Month-to-month,Credit card,Fiber optic,Yes,Yes
14,58.04,812.56,Two year,Bank transfer,DSL,Yes,No
15,97.56,1463.4,Month-to-month,Electronic check,DSL,Yes,Yes
66,116.45,7685.7,Month-to-month,Credit card,DSL,Yes,Yes
32,40.38,1292.16,Month-to-month,Credit card,DSL,No,Yes
63,72.33,4556.79,Month-to-month,Bank transfer,DSL,Yes,Yes
51,48.71,2484.21,One year,Credit card,DSL,Yes,No
25,99.29,2482.25,One year,Bank transfer,DSL,No,Yes
58,77.76,4510.08,Month-to-month,Mailed check,Fiber optic,No,No
63,83.46,5257.98,Two year,Bank transfer,DSL,No,No
62,99.79,6186.98,Month-to-month,Mailed check,DSL,Yes,Yes
22,59.6,1311.2,One year,Electronic check,Fiber optic,Yes,No
58,111.51,6467.58,Two year,Credit card,Fiber optic,Yes,No
58,73.3,4251.4,One year,Bank transfer,No,Yes,No
49,35.8,1754.2,One year,Bank transfer,DSL,No,Yes
52,89.59,4658.68,Two year,Credit card,DSL,No,No
42,99.33,4171.86,Month-to-month,Credit card,DSL,Yes,No
70,51.68,3617.6,Month-to-month,Electronic check,DSL,Yes,Yes
15,105.72,1585.8,Month-to-month,Electronic check,No,Yes,Yes
54,110.61,5972.94,Month-to-month,Bank transfer,Fiber optic,Yes,Yes
60,47.69,2861.4,Two year,Electronic check,Fiber optic,No,No
8,118.35,946.8,Two year,Mailed check,DSL,No,Yes
53,34.07,1805.71,Two year,Electronic check,DSL,Yes,No
60,40.2,2412.0,One year,Electronic check,DSL,No,Yes
5,38.42,192.1,Two year,Bank transfer,No,Yes,No
68,109.4,7439.2,Month-to-month,Mailed check,No,Yes,Yes
6,85.43,512.58,One year,Electronic check,Fiber optic,No,Yes
47,35.21,1654.87,Month-to-month,Mailed check,DSL,Yes,Yes
55,64.03,3521.65,Month-to-month,Mailed check,DSL,No,Yes
40,81.53,3261.2,Two year,Mailed check,DSL,Yes,Yes
52,28.35,1474.2,Two year,Credit card,DSL,No,Yes
16,108.24,1731.84,Month-to-month,Credit card,No,Yes,Yes
13,100.36,1304.68,Month-to-month,Credit card,Fiber optic,No,No
30,70.52,2115.6,One year,Credit card,Fiber optic,Yes,No
19,116.71,2217.49,Two year,Bank transfer,No,Yes,No
17,61.78,1050.26,One year,Electronic check,DSL,No,Yes
63,118.41,7459.83,One year,Credit card,Fiber optic,Yes,No
19,86.79,1649.01,One year,Bank transfer,Fiber optic,No,No
58,83.47,4841.26,Month-to-month,Electronic check,No,No,Yes
55,36.6,2013.0,One year,Credit card,DSL,Yes,Yes
62,108.19,6707.78,One year,Electronic check,Fiber optic,Yes,Yes
23,62.75,1443.25,Month-to-month,Credit card,DSL,Yes,No
9,36.22,325.98,Two year,Bank transfer,Fiber optic,Yes,Yes
12,21.26,255.12,Two year,Mailed check,No,No,No
1,75.98,75.98,One year,Mailed check,DSL,Yes,Yes
58,72.74,4218.92,Month-to-month,Electronic check,No,Yes,Yes
1,91.94,91.94,Two year,Bank transfer,Fiber optic,Yes,Yes
34,109.03,3707.02,One year,Mailed check,No,No,No
48,27.94,1341.12,One year,Credit card,No,Yes,Yes
1,93.15,93.15,Month-to-month,Mailed check,No,No,Yes
16,38.74,619.84,One year,Electronic check,Fiber optic,Yes,Yes
61,105.82,6455.02,Two year,Electronic check,DSL,No,Yes
64,101.91,6522.24,Month-to-month,Bank transfer,No,Yes,Yes
63,74.08,4667.04,Two year,Electronic check,DSL,Yes,No
69,91.02,6280.38,Two year,Mailed check,Fiber optic,No,No
22,51.44,1131.68,Two year,Mailed check,DSL,Yes,No
67,67.12,4497.04,One year,Mailed check,No,Yes,No
26,102.16,2656.16,One year,Mailed check,No,Yes,No
16,65.93,1054.88,Two year,Bank transfer,No,No,Yes
51,55.78,2844.78,Two year,Credit card,No,Yes,No
57,69.42,3956.94,Month-to-month,Credit card,No,No,Yes
29,102.82,2981.78,Month-to-month,Bank transfer,No,No,Yes
69,53.52,3692.88,One year,Electronic check,Fiber optic,No,No
47,37.38,1756.86,One year,Credit card,Fiber optic,Yes,No
62,91.2,5654.4,Month-to-month,Electronic check,Fiber optic,No,Yes
69,102.6,7079.4,Two year,Credit card,DSL,No,Yes
16,30.06,480.96,One year,Electronic check,DSL,Yes,No
48,43.99,2111.52,Two year,Bank transfer,Fiber optic,No,No
39,34.2,1333.8,Month-to-month,Mailed check,DSL,No,Yes
33,54.79,1808.07,One year,Electronic check,DSL,Yes,Yes
23,65.04,1495.92,One year,Mailed check,No,Yes,No
10,94.88,948.8,Month-to-month,Electronic check,No,No,Yes
69,85.11,5872.59,One year,Electronic check,DSL,Yes,No
34,82.09,2791.06,Month-to-month,Electronic check,DSL,Yes,Yes
52,55.24,2872.48,One year,Electronic check,Fiber optic,Yes,Yes
10,104.14,1041.4,Month-to-month,Electronic check,DSL,No,Yes
19,67.13,1275.47,One year,Mailed check,No,No,No
58,117.91,6838.78,Two year,Electronic check,DSL,Yes,Yes
1,83.41,83.41,Two year,Mailed check,Fiber optic,No,Yes
69,32.63,2251.47,Two year,Bank transfer,No,Yes,No
4,87.62,350.48,One year,Credit card,No,Yes,Yes
16,52.51,840.16,One year,Electronic check,No,Yes,Yes
24,88.63,2127.12,Two year,Credit card,No,Yes,Yes
2,26.96,53.92,Two year,Mailed check,DSL,Yes,No
32,37.49,1199.68,Month-to-month,Bank transfer,Fiber optic,No,Yes
24,105.57,2533.68,Month-to-month,Bank transfer,DSL,No,No
12,42.72,512.64,Month-to-month,Bank transfer,DSL,No,No
50,103.7,5185.0,Two year,Credit card,No,No,Yes
35,47.93,1677.55,Two year,Mailed check,Fiber optic,Yes,No
33,84.29,2781.57,Two year,Electronic check,No,Yes,Yes
33,89.42,2950.86,Month-to-month,Electronic check,DSL,No,Yes
61,71.27,4347.47,One year,Mailed check,DSL,No,No
51,50.53,2577.03,Two year,Credit card,No,Yes,No
43,41.26,1774.18,One year,Electronic check,DSL,Yes,Yes
12,23.32,279.84,One year,Mailed check,DSL,Yes,No
67,50.39,3376.13,One year,Electronic check,No,No,Yes
65,85.32,5545.8,Month-to-month,Bank transfer,DSL,Yes,No
33,113.83,3756.39,One year,Electronic check,Fiber optic,Yes,No
40,107.12,4284.8,Two year,Credit card,No,No,No
43,96.61,4154.23,Month-to-month,Mailed check,Fiber optic,No,Yes
44,98.84,4348.96,Two year,Credit card,DSL,No,No
29,86.5,2508.5,Two year,Mailed check,DSL,Yes,No
13,46.03,598.39,Month-to-month,Bank transfer,No,Yes,Yes
12,110.72,1328.64,Two year,Mailed check,DSL,No,Yes
46,87.07,4005.22,Two year,Electronic check,No,Yes,No
2,76.04,152.08,Month-to-month,Electronic check,No,Yes,Yes
35,31.1,1088.5,Two year,Bank transfer,No,Yes,Yes
8,64.71,517.68,One year,Mailed check,No,No,Yes
26,66.04,1717.04,Two year,Bank transfer,No,No,Yes
34,106.46,3619.64,One year,Electronic check,Fiber optic,Yes,No
7,74.66,522.62,Two year,Credit card,No,Yes,No
68,58.04,3946.72,Month-to-month,Bank transfer,Fiber optic,Yes,No
58,117.68,6825.44,Month-to-month,Credit card,DSL,Yes,Yes
29,31.07,901.03,Two year,Credit card,No,No,No
36,62.25,2241.0,Month-to-month,Mailed check,DSL,No,Yes
21,24.2,508.2,Two year,Bank transfer,No,Yes,Yes
36,93.99,3383.64,Month-to-month,Credit card,Fiber optic,Yes,No
10,111.81,1118.1,One year,Credit card,Fiber optic,No,Yes
24,48.0,1152.0,Two year,Mailed check,Fiber optic,Yes,No
64,105.83,6773.12,One year,Mailed check,DSL,No,No
49,49.22,2411.78,One year,Electronic check,No,Yes,No
36,111.08,3998.88,Two year,Credit card,DSL,No,Yes
24,95.4,2289.6,One year,Electronic check,Fiber optic,Yes,Yes
23,100.49,2311.27,Two year,Credit card,DSL,Yes,Yes
62,21.8,1351.6,One year,Electronic check,Fiber optic,No,No
37,116.28,4302.36,Two year,Mailed check,Fiber optic,No,No
12,92.67,1112.04,Two year,Bank transfer,Fiber optic,Yes,No
55,50.48,2776.4,Month-to-month,Mailed check,No,Yes,No
13,102.94,1338.22,Two year,Electronic check,No,No,No
